Entity,Code,Year,hyg_bas,hyg_lim,hyg_nfac
Afghanistan,AFG,2015,37.69280282,34.41226826,27.894928
Afghanistan,AFG,2016,37.76772379,34.37910829,27.853168
Afghanistan,AFG,2017,37.84713186,34.34396234,27.808907
Afghanistan,AFG,2018,37.93172009,34.30652499,27.761755
Afghanistan,AFG,2019,38.02113959,34.26694664,27.711914
,,,,,
Algeria,DZA,2015,83.98020439,8.545003409,7.474792
Algeria,DZA,2016,84.12050856,8.954535294,6.9249563
Algeria,DZA,2017,84.25496007,9.365491705,6.3795481
Algeria,DZA,2018,84.38397549,9.777720646,5.838304
Algeria,DZA,2019,84.50756077,10.19129199,5.3011475
,,,,,
Angola,AGO,2015,26.39339879,14.9946214,58.61198
Angola,AGO,2016,26.5392,15.00863699,58.452164
Angola,AGO,2017,26.68230262,15.02239193,58.295307
Angola,AGO,2018,26.82229525,15.03584876,58.141857
Angola,AGO,2019,26.95980034,15.04906685,57.991135
,,,,,
Armenia,ARM,2015,92.72079863,2.468193597,4.811008
Armenia,ARM,2016,93.38100524,1.778394234,4.8406005
Armenia,ARM,2017,94.0429415,1.088705797,4.8683529
Armenia,ARM,2018,94.70579809,0.400013503,4.8941884
Armenia,ARM,2019,94.70978978,0.401389059,4.8888211
,,,,,
Azerbaijan,AZE,2015,89.28205565,9.174742845,1.5432016
Azerbaijan,AZE,2016,89.2927748,9.166079643,1.5411456
Azerbaijan,AZE,2017,89.30401787,9.156993024,1.5389891
Bangladesh,BGD,2015,41.75359784,48.40495859,9.841444
Bangladesh,BGD,2016,45.13910117,45.78321107,9.0776882
Bangladesh,BGD,2017,48.49695897,43.18291962,8.3201218
Bangladesh,BGD,2018,51.82701989,40.60419843,7.5687819
Bangladesh,BGD,2019,55.12933108,38.04700296,6.8236661
,,,,,
Barbados,BRB,2015,88.46935061,2.35315667,9.1774931
Barbados,BRB,2016,88.46935061,2.35315667,9.1774931
Belize,BLZ,2015,87.70656176,7.090113503,5.2033248
Belize,BLZ,2016,88.55672682,8.381913065,3.0613601
Belize,BLZ,2017,89.40937052,9.656708294,0.93392116
Belize,BLZ,2018,90.26509189,9.734908107,0
Belize,BLZ,2019,90.26999386,9.730006139,0
,,,,,
Benin,BEN,2015,9.222357813,47.06936949,43.708271
Benin,BEN,2016,9.779728502,46.51645028,43.703823
Benin,BEN,2017,10.33946693,45.96120504,43.699329
Benin,BEN,2018,10.90160025,45.40360656,43.694794
Benin,BEN,2019,11.46615616,44.84362719,43.690216
,,,,,
Bhutan,BTN,2015,85.73494287,13.13313843,1.1319187
Bhutan,BTN,2016,86.97127682,12.06760406,0.96111912
Bhutan,BTN,2017,88.18403934,11.02254809,0.79341257
Bhutan,BTN,2018,89.37374711,9.997520009,0.62873286
Bhutan,BTN,2019,90.54091731,8.99206901,0.46701369
,,,,,
Bolivia,BOL,2015,26.81212733,13.40895344,59.778919
Bolivia,BOL,2016,26.83693636,13.34558381,59.817478
Bolivia,BOL,2017,26.86152814,13.28276548,59.855705
Bolivia,BOL,2018,26.8863367,13.219397,59.894268
Bolivia,BOL,2019,26.91136135,13.15547649,59.933163
,,,,,
Bosnia and Herzegovina,BIH,2015,97.25226099,1.542320884,1.2054181
Bosnia and Herzegovina,BIH,2016,97.26105571,1.536566135,1.2023782
Burkina Faso,BFA,2015,8.808328123,45.60252098,45.589149
Burkina Faso,BFA,2016,8.860432914,41.90985011,49.229717
Burkina Faso,BFA,2017,8.906550959,38.23337027,52.860077
Burkina Faso,BFA,2018,8.946726418,34.57328011,56.479992
Burkina Faso,BFA,2019,8.980981641,30.92983209,60.089188
,,,,,
Burundi,BDI,2015,6.138466723,91.04008787,2.8214455
Burundi,BDI,2016,6.142083348,91.79945958,2.0584571
Burundi,BDI,2017,6.144099344,92.56000133,1.2958993
Burundi,BDI,2018,6.144402361,93.31324493,0.54235274
Burundi,BDI,2019,6.142880037,93.85712208,-0.00000212
,,,,,
Cambodia,KHM,2015,67.27171566,12.66520943,20.063074
Cambodia,KHM,2016,68.63269854,12.62466382,18.742638
Cambodia,KHM,2017,69.97338241,12.58863797,17.437979
Cambodia,KHM,2018,71.29451271,12.55677466,16.148712
Cambodia,KHM,2019,72.59513859,12.52932424,14.875537
,,,,,
Cameroon,CMR,2015,35.67319265,60.43617406,3.8906333
Cameroon,CMR,2016,35.82342716,60.29011842,3.8864543
Cameroon,CMR,2017,35.97291182,60.14479178,3.8822963
